repository,stars,url,total_bugs,bugs_per_class,total_java_files,total_loc,total_classes,total_methods,avg_wmc,avg_cbo,avg_rfc,avg_dit,avg_noc,avg_wmc_method,avg_loc_method,avg_loops,avg_comparisons,code_duplication_percent,maintainability_index,ck_output_dir,analysis_time_seconds,analysis_date
macrozheng/mall,82155,https://github.com/macrozheng/mall,0,0.0,526,65769,760,14173,20.09,3.93,4.88,1.24,0.02,1.08,3.94,0.01,0.04,14.98,0,temp_repos\ck_output_macrozheng_mall,13.93,2025-11-17T16:49:10.363784
spring-projects/spring-boot,79009,https://github.com/spring-projects/spring-boot,0,0.0,8105,483196,13451,51719,4.96,5.45,7.11,1.29,0.05,1.29,5.4,0.04,0.12,6.99,0,temp_repos\ck_output_spring-projects_spring-boot,143.95,2025-11-17T16:49:24.290287
jeecgboot/JeecgBoot,44376,https://github.com/jeecgboot/JeecgBoot,759,0.902,835,60858,841,4690,12.87,7.14,13.39,1.18,0.02,2.31,9.22,0.15,0.4,11.17,0,temp_repos\ck_output_jeecgboot_JeecgBoot,22.92,2025-11-17T16:51:48.236871
apache/dubbo,41586,https://github.com/apache/dubbo,0,0.0,4015,308050,4942,30393,10.89,5.42,11.76,1.28,0.11,1.77,7.03,0.09,0.27,11.0,0,temp_repos\ck_output_apache_dubbo,84.07,2025-11-17T16:52:11.162164
alibaba/arthas,36849,https://github.com/alibaba/arthas,99,0.077,917,66392,1283,7025,10.46,4.72,9.7,1.38,0.17,1.91,7.08,0.11,0.33,13.58,0,temp_repos\ck_output_alibaba_arthas,21.81,2025-11-17T16:53:35.231847
YunaiV/ruoyi-vue-pro,34198,https://github.com/YunaiV/ruoyi-vue-pro,171,0.045,3688,169838,3763,11978,4.86,7.89,8.74,1.22,0.06,1.53,5.87,0.02,0.19,5.02,0,temp_repos\ck_output_YunaiV_ruoyi-vue-pro,67.44,2025-11-17T16:53:57.041779
xkcoding/spring-boot-demo,33975,https://github.com/xkcoding/spring-boot-demo,46,0.095,484,11960,482,1000,2.77,5.05,4.81,1.13,0.06,1.33,5.43,0.03,0.05,10.72,0,temp_repos\ck_output_xkcoding_spring-boot-demo,11.86,2025-11-17T16:55:04.483268
apolloconfig/apollo,29705,https://github.com/apolloconfig/apollo,29,0.038,673,49669,770,4485,8.49,7.41,12.66,1.26,0.18,1.46,6.65,0.07,0.14,10.3,0,temp_repos\ck_output_apolloconfig_apollo,18.22,2025-11-17T16:55:16.344663
wuyouzhuguli/SpringAll,28974,https://github.com/wuyouzhuguli/SpringAll,0,0.0,661,18026,378,1065,3.34,5.24,4.78,1.11,0.02,1.18,4.53,0.01,0.06,14.26,0,temp_repos\ck_output_wuyouzhuguli_SpringAll,11.43,2025-11-17T16:55:34.568984
alibaba/spring-cloud-alibaba,28870,https://github.com/alibaba/spring-cloud-alibaba,0,0.0,459,25654,605,2500,6.74,5.82,7.4,1.11,0.03,1.63,6.09,0.04,0.21,14.59,0,temp_repos\ck_output_alibaba_spring-cloud-alibaba,12.5,2025-11-17T16:55:45.995353
