full_name,url,created_at,pushed_at,stars,forks,open_issues,total_issues,contributors,topics,frameworks,framework_primary,detection_source,spring_boot_version,collected_at
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,2026-09-01T15:12:41Z,81389,42090,455,43028,1609,framework; java; spring; spring-boot,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:04Z
apereo/cas,https://github.com/apereo/cas,2011-09-09T01:36:42Z,2026-09-01T09:16:34Z,11360,3959,0,0,381,authentication; authorization; aws; duosecurity; fido; identity-provider; java; ldap-authentication; mfa; oauth2; open-source; openidconnect; saml2; spring-boot; spring-cloud; spring-framework; spring-webflow; sso; sso-authentication; websso,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:06Z
apache/camel,https://github.com/apache/camel,2009-05-21T00:25:36Z,2026-09-01T17:40:02Z,6308,5161,0,0,1579,camel; cloud-native; data-transformation; enterprise-integration-patterns; integration; integration-framework; java; kafka; kubernetes; mcp; microservices; middleware; quarkus; rest-api; spring-boot; yaml,Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:55:09Z
springfox/springfox,https://github.com/springfox/springfox,2012-05-06T06:38:57Z,2024-03-18T18:36:28Z,5929,1509,218,3542,210,java; oai; openapi; spring; spring-boot; spring-data-rest; springfox; swagger,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:11Z
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,2024-07-24T02:02:52Z,34076,10882,101,175,12,demo; in-action; java; spring; spring-boot; spring-boot-2; spring-boot-demo; web; xkcoding,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:13Z
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,2023-11-18T16:32:16Z,30498,12158,10,110,8,docker; docker-composer; fastdfs; java; mongodb; mybatis; rabbitmq; scheduler; spring; spring-boot; spring-boot-examples; spring-boot-mail; spring-boot-mongodb; spring-boot-upload-file; spring-cloud; spring-data-jpa; springboot; springboot-shiro; springcloud; thymeleaf,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:14Z
apolloconfig/apollo,https://github.com/apolloconfig/apollo,2016-03-04T10:24:23Z,2026-08-31T10:04:53Z,29805,10163,157,3449,215,config-management; configuration-management; distributed-configuration; microservices; spring-boot; spring-cloud,Spring Boot,Spring Boot,both,4.1.1,2026-09-01T17:55:17Z
forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,2017-04-08T10:06:56Z,2021-04-12T09:53:47Z,17916,7931,41,53,2,consul; eureka; feign; finchley; gateway; hystrix; hystrix-dashboard; hystrix-turbine; ribbon; sleuth; spring; spring-boot; spring-cloud; springbootadmin; zuul,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:18Z
macrozheng/mall,https://github.com/macrozheng/mall,2018-04-04T01:11:44Z,2026-05-14T08:32:05Z,84673,29831,14,508,2,docker; elasticsearch; elk; java; mongodb; mybatis; mysql; rabbitmq; redis; spring; spring-boot; spring-cloud; spring-security; springboot; springcloud; swagger-ui,Spring Boot,Spring Boot,both,3.5.14,2026-09-01T17:55:20Z
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,2024-05-31T14:56:35Z,28945,8092,21,48,3,learning; shiro; spring-boot; spring-boot-learning; spring-cloud; spring-security; springboot,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:22Z
elunez/eladmin,https://github.com/elunez/eladmin,2018-12-14T08:54:24Z,2026-05-09T09:41:00Z,21913,7341,20,714,59,admin; eladmin; element-ui; jpa; jwt; redis; spring-boot; spring-security; swagger2; vue,Spring Boot,Spring Boot,both,2.7.18,2026-09-01T17:55:23Z
linlinjava/litemall,https://github.com/linlinjava/litemall,2018-03-22T16:42:30Z,2026-08-20T00:43:07Z,20345,7313,46,379,74,litemall; mall; spring-boot; vue; wechat; wechat-mini-program,Spring Boot; Vaadin,Spring Boot,both,2.1.5.RELEASE,2026-09-01T17:55:25Z
conductor-oss/conductor,https://github.com/conductor-oss/conductor,2023-12-08T06:06:09Z,2026-09-01T17:45:07Z,32157,1001,164,442,416,distributed-systems; durable-execution; grpc; java; javascript; microservice-orchestration; orchestration-engine; orchestrator; reactjs; spring-boot; workflow-automation; workflow-engine; workflow-management; workflows,Spring Boot,Spring Boot,both,3.5.14,2026-09-01T17:55:27Z
xuchengsheng/spring-reading,https://github.com/xuchengsheng/spring-reading,2023-09-15T06:42:44Z,2024-07-29T06:13:59Z,9929,1264,30,32,4,annotations; awareinterface; backenddevelopment; java; javabackend; mybatis; mybatis-plus; opensource; servlet; sourcecodeanalysis; spring; spring-aop; spring-boot; spring-cloud; spring-data-jpa; spring-security; springboot2; springframework; springmvc; web,Jakarta EE / Java EE; Spring Boot,Spring Boot,both,,2026-09-01T17:55:29Z
grimmory-tools/grimmory,https://github.com/grimmory-tools/grimmory,2026-03-12T21:32:38Z,2026-09-01T16:52:52Z,4193,311,181,724,145,angular; azw3; cbr; cbz; comics; comics-reader; documents; ebooks; ebooks-reader; epub; java; metadata; mobi; oidc; opds; pdf; self-hosted; spring-boot,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:30Z
ali-bouali/spring-boot-3-jwt-security,https://github.com/ali-bouali/spring-boot-3-jwt-security,2022-12-29T13:21:52Z,2024-07-01T16:58:29Z,2036,925,18,45,3,authentication; docker; docker-compose; intellij-idea; jwt; jwt-authentication; postgressql; spring-boot; spring-security,Spring Boot,Spring Boot,both,3.1.4,2026-09-01T17:55:32Z
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,2026-09-01T09:20:43Z,60217,38765,351,28367,1296,spring; spring-framework; spring-mvc,Spring MVC,Spring MVC,topics,,2026-09-01T17:55:34Z
pac4j/pac4j,https://github.com/pac4j/pac4j,2012-01-28T17:04:12Z,2026-09-01T15:40:34Z,2521,710,0,0,227,authentication; authorization; cas; dropwizard; j2e; java; jax-rs; jwt; ldap; oauth; openid-connect; play-framework; ratpack; saml; security; shiro; sparkjava; spring-mvc; spring-security; vertx,Dropwizard; Play Framework; Spark Java; Spring MVC; Vert.x; Jakarta EE / Java EE,Dropwizard,both,,2026-09-01T17:55:36Z
BroadleafCommerce/BroadleafCommerce,https://github.com/BroadleafCommerce/BroadleafCommerce,2011-12-09T17:53:52Z,2026-08-31T15:56:40Z,1921,1320,32,1446,135,java; spring; spring-boot; spring-mvc; spring-security,Spring Boot; Spring MVC; Jakarta EE / Java EE,Spring Boot,both,,2026-09-01T17:55:39Z
jreijn/spring-comparing-template-engines,https://github.com/jreijn/spring-comparing-template-engines,2013-11-07T09:39:01Z,2023-12-15T15:09:28Z,428,114,1,30,11,java; spring-mvc; template-engine,Spring MVC; Spring Boot; Jakarta EE / Java EE,Spring Boot,both,2.7.5,2026-09-01T17:55:41Z
zhanglei-workspace/shopping-management-system,https://github.com/zhanglei-workspace/shopping-management-system,2015-11-16T12:53:21Z,2024-03-07T06:37:19Z,5195,2223,17,26,1,java; maven; mybatis; spring; spring-mvc,Spring MVC,Spring MVC,topics,,2026-09-01T17:55:43Z
xubinux/xbin-store,https://github.com/xubinux/xbin-store,2017-02-26T04:19:53Z,2022-12-05T23:56:22Z,2134,1101,8,12,4,activemq; b2c; dubbox; fastdfs; mybatis; redis; solr; spring; spring-mvc; xbin-store; zookeeper,Spring MVC; Spring Boot; Jakarta EE / Java EE,Spring Boot,both,1.5.1.RELEASE,2026-09-01T17:55:48Z
javahongxi/whatsmars,https://github.com/javahongxi/whatsmars,2016-04-01T10:33:04Z,2026-08-31T01:35:23Z,1966,604,1,7,4,dubbo; elastic-job; elasticsearch; grpc; java; kafka; langchain4j; microservices; nacos; netty; redis; rocketmq; rpc; sentinel; sharding-jdbc; spring; spring-ai; spring-boot; spring-mvc; zookeeper,Spring Boot,Spring Boot,both,3.5.14,2026-09-01T17:55:50Z
kanwangzjm/funiture,https://github.com/kanwangzjm/funiture,2016-03-06T11:54:46Z,2023-11-15T05:39:58Z,1866,782,2,20,5,httpclient; imooc; jquery; json; mybatis; quartz; scheduler; spring; spring-mvc,Spring MVC,Spring MVC,both,,2026-09-01T17:55:52Z
DerekYRC/mini-spring,https://github.com/DerekYRC/mini-spring,2020-11-17T11:59:18Z,2026-08-13T09:21:08Z,6365,1445,30,44,14,mini-spring; spring; spring-boot; spring-mvc; springboot; springframework; tiny-spring,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:54Z
yzcheng90/x-springboot,https://github.com/yzcheng90/x-springboot,2018-01-05T08:39:00Z,2025-11-26T02:26:08Z,2691,814,3,33,3,minio; mybatis-plus; redis; security; spring-boot; spring-mvc; swagger,Spring Boot,Spring Boot,both,3.5.4,2026-09-01T17:55:56Z
callicoder/spring-security-react-ant-design-polls-app,https://github.com/callicoder/spring-security-react-ant-design-polls-app,2018-02-28T05:01:35Z,2023-12-10T06:23:57Z,1863,1053,26,28,3,ant-design; antd; authentication; authorization; database; jwt; login; mysql; react; react-router; react-router-v4; reactjs; spring-boot; spring-mvc; spring-security; spring-security-jwt; spring-security-react; spring-security-tutorial,Spring Boot,Spring Boot,topics,,2026-09-01T17:55:57Z
mxdldev/spring-cloud-flycloud,https://github.com/mxdldev/spring-cloud-flycloud,2019-02-14T01:00:00Z,2020-06-29T01:21:06Z,1579,439,5,7,2,spring; spring-boot; spring-cloud; spring-data-jpa; spring-mvc; spring-security; springboot; springframework; springmvc,Spring Boot,Spring Boot,both,,2026-09-01T17:55:59Z
jaygajera17/E-commerce-project-springBoot,https://github.com/jaygajera17/E-commerce-project-springBoot,2022-03-12T10:42:29Z,2026-05-08T16:55:30Z,1079,1160,30,49,19,e-commerce-project-in-java; eclipse; java; java-ecommerce-system; java-project; java-web-app; javaproject; jdbc; mysql; spring; spring-boot; spring-boot-project; spring-mvc; spring-projects; spring-web-project; springboot,Spring Boot; Jakarta EE / Java EE,Spring Boot,both,2.6.4,2026-09-01T17:56:01Z
loiane/crud-angular-spring,https://github.com/loiane/crud-angular-spring,2022-05-30T23:09:48Z,2026-08-31T19:14:06Z,263,50,0,5,4,angular; angular-material; angular-testing; java; spring; spring-boot; spring-mvc; springboot; springframework,Spring Boot,Spring Boot,topics,,2026-09-01T17:56:03Z
meysamhadeli/booking-microservices-java-spring-boot,https://github.com/meysamhadeli/booking-microservices-java-spring-boot,2025-01-01T11:55:54Z,2025-10-09T13:41:56Z,143,41,1,1,1,clean-architecture; cqrs; ddd; event-driven-architecture; grpc; java; keycloak; messaging; microservice; microservices; mongodb; oauth2; opentelemetry; rabbitmq; spring-boot; spring-cloud-gateway; spring-data-jpa; spring-mvc; spring-security; vertical-slice-architecture,Spring Boot,Spring Boot,topics,,2026-09-01T17:56:04Z
TheEterna/api2mcp4j,https://github.com/TheEterna/api2mcp4j,2025-04-15T02:32:31Z,2026-08-25T15:58:04Z,110,16,0,3,2,agent; ai; framework; java; maven; mcp; mcp-server; multi-agent-systems; spring; spring-ai; spring-boot; spring-mvc,Spring Boot,Spring Boot,both,4.1.0,2026-09-01T17:56:06Z
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere,2010-06-30T14:26:23Z,2026-09-01T03:10:23Z,3804,761,2,2154,179,a2a; acp; agentic-ai; ai-agents; anthropic; crewai; embabel; event-driven; java; koog; langchain4j; llm; mcp; multiagent; quarkus; rag; spring-ai; spring-boot; sse; websocket,Quarkus; Spring Boot,Spring Boot,both,4.1.0,2026-09-01T17:56:09Z
citrusframework/citrus,https://github.com/citrusframework/citrus,2010-02-03T15:32:30Z,2026-08-30T20:15:03Z,485,154,174,983,89,apache-camel; http; integration-testing; jms; kafka; knative; kubernetes; messaging; microservices; quarkus; rest-api; spring-boot; testing,Quarkus; Spring Boot; Dropwizard; Vert.x; Spring MVC; Jakarta EE / Java EE,Spring Boot,both,,2026-09-01T17:56:12Z
redisson/redisson,https://github.com/redisson/redisson,2014-01-11T14:06:25Z,2026-08-31T10:59:14Z,24384,5494,183,5865,295,cache; distributed; distributed-locks; executor; hibernate; java; json; lock; map; micronaut; quarkus; queue; redis; redis-client; scheduler; session; spring; tomcat; valkey; valkey-client,Micronaut; Quarkus,Quarkus,topics,,2026-09-01T17:56:14Z
database-rider/database-rider,https://github.com/database-rider/database-rider,2016-09-16T12:47:36Z,2026-01-24T12:06:26Z,683,142,68,312,70,cdi; db-testing; dbrider; dbunit; deltaspike; jpa; junit5; micronautfw; quarkus; spring; springboot,Quarkus,Quarkus,topics,,2026-09-01T17:56:16Z
labsai/EDDI,https://github.com/labsai/EDDI,2016-10-13T13:29:22Z,2026-09-01T00:06:49Z,372,124,17,179,29,a2a; ai-agents; ai-orchestration; chatbot; conversation-memory; conversational-ai; docker; enterprise-ai; java; langchain4j; llm; mcp-client; mcp-server; mongodb; multi-agent; postgres; quarkus; rag,Quarkus; Vert.x,Quarkus,both,,2026-09-01T17:56:19Z
KotlinCraft/modern-java-and-kotlin-tutorials,https://github.com/KotlinCraft/modern-java-and-kotlin-tutorials,2016-03-11T12:54:11Z,2020-06-26T08:05:28Z,204,73,0,2,2,crpytography; java; kotlin; micronaut; quarkus; spring,Micronaut; Quarkus,Quarkus,topics,,2026-09-01T17:56:20Z
smallrye/smallrye-mutiny,https://github.com/smallrye/smallrye-mutiny,2019-07-22T12:48:27Z,2026-08-31T10:08:24Z,927,149,9,329,67,asynchronous; java; jvm; programming; quarkus; reactive; reactive-extensions; reactive-streams; streams; vertx,Quarkus; Vert.x,Quarkus,topics,,2026-09-01T17:56:23Z
dromara/sureness,https://github.com/dromara/sureness,2019-01-21T15:35:21Z,2025-07-18T07:02:02Z,877,161,9,47,17,authentication; authorization; basic-auth; digest; framework; javalin; jwt; ktor; library; quarkus; restful-api; shiro; spring; spring-security; springboot,Javalin; Quarkus; Spring Boot,Spring Boot,both,,2026-09-01T17:56:25Z
apache/incubator-kie-kogito-runtimes,https://github.com/apache/incubator-kie-kogito-runtimes,2019-03-07T08:49:09Z,2026-07-22T06:01:50Z,612,253,84,349,359,apache; bpm; cloud-native; dmn; java; jbpm; knative; kogito; pmml; quarkus; rule-engine; spring-boot; workflow; workflow-engine,Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:56:27Z
dekorateio/dekorate,https://github.com/dekorateio/dekorate,2018-11-14T15:30:03Z,2026-08-25T15:09:16Z,489,111,77,424,58,helm; java; knative; kubernetes; openshift; quarkus; tekton,Quarkus,Quarkus,topics,,2026-09-01T17:56:30Z
tess1o/geopulse,https://github.com/tess1o/geopulse,2025-07-01T14:10:47Z,2026-08-31T19:04:43Z,1376,56,6,343,15,gps-tracker; gps-tracking; java; owntracks; postgis; postgis-database; postgres; privacy; quarkus; quarkus-native; self-hosted; timeline; vue3,Quarkus,Quarkus,topics,,2026-09-01T17:56:32Z
HamburgChimps/apple-notes-liberator,https://github.com/HamburgChimps/apple-notes-liberator,2023-03-26T00:54:17Z,2023-09-24T14:03:02Z,1017,26,16,39,7,apple-notes; picocli; quarkus,Quarkus,Quarkus,both,,2026-09-01T17:56:35Z
entropy-cloud/nop-entropy,https://github.com/entropy-cloud/nop-entropy,2022-08-18T22:43:44Z,2026-08-31T11:44:44Z,692,100,2,5,23,aigc; amis; graalvm; graphql; java; lowcode; nocode; quarkus; report; report-engine; rule-engine; vue3; workflow,Quarkus,Quarkus,topics,,2026-09-01T17:56:37Z
TimefoldAI/timefold-quickstarts,https://github.com/TimefoldAI/timefold-quickstarts,2023-04-21T13:51:19Z,2026-09-01T17:39:39Z,575,171,6,103,34,artificial-intelligence; constraint-programming; cvrp; employee-scheduling; gradle; java; job-shop-scheduling; kotlin; maintenance-scheduling; maven; operations-research; optimization-library; planning-algorithms; quarkus; resource-allocation; spring-boot; vehicle-routing-problem; vrptw,Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:56:39Z
domix/wonky,https://github.com/domix/wonky,2015-07-19T20:31:48Z,2025-04-21T11:02:06Z,32,9,14,27,3,codecov; java11; java8; micronaut; micronautfw; slack,Micronaut,Micronaut,both,,2026-09-01T17:56:41Z
asc-lab/micronaut-microservices-poc,https://github.com/asc-lab/micronaut-microservices-poc,2018-08-02T08:42:22Z,2022-08-13T18:19:59Z,497,176,6,35,11,consul; h2-database; insurance; jwt; jwt-auth; kafka; micronaut; microservices; microservices-architecture; mongodb; postgresql; zipkin,Micronaut,Micronaut,topics,,2026-09-01T17:56:43Z
micronaut-projects/micronaut-data,https://github.com/micronaut-projects/micronaut-data,2019-07-18T15:18:18Z,2026-09-01T13:04:31Z,480,229,188,1143,123,data; groovy; hibernate; java; jdbc; jpa; kotlin; micronaut; relational-databases; sql,Micronaut,Micronaut,both,,2026-09-01T17:56:45Z
bitcldr/dictum,https://github.com/bitcldr/dictum,2019-04-04T16:20:05Z,2025-05-14T13:14:36Z,195,12,5,32,3,api; docker; java; micronaut; mongodb; quote; quotes-api; telegram; telegram-bot,Micronaut,Micronaut,topics,,2026-09-01T17:56:46Z
micronaut-projects/micronaut-openapi,https://github.com/micronaut-projects/micronaut-openapi,2019-03-28T13:07:55Z,2026-09-01T06:38:27Z,114,121,19,510,89,micronaut; openapi; rest-api; swagger,Micronaut,Micronaut,both,,2026-09-01T17:56:48Z
sivaprasadreddy/testcontainers-samples,https://github.com/sivaprasadreddy/testcontainers-samples,2022-08-07T04:57:55Z,2026-08-02T09:09:44Z,61,15,1,2,3,java; micronaut; quarkus; spring-boot; testcontainers,Micronaut; Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:56:50Z
seehiong/micronaut-llama3,https://github.com/seehiong/micronaut-llama3,2024-12-15T10:53:05Z,2025-02-02T13:31:03Z,41,2,0,0,1,deepseek-r1; gguf; graalvm; gradle; huggingface; java; llama; llama3; llm; llm-inference; micronaut; native; simd,Micronaut,Micronaut,both,,2026-09-01T17:56:52Z
ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,https://github.com/ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,2024-07-28T16:50:00Z,2026-04-21T21:07:20Z,31,14,0,0,2,aot; cds; docker; graalvm; java; jvm; micronaut; native; quarkus; spring-boot; virtual-threads; web; webflux,Micronaut; Quarkus; Spring Boot,Spring Boot,topics,,2026-09-01T17:56:54Z
cloudflightio/springboot-testresources,https://github.com/cloudflightio/springboot-testresources,2023-01-05T14:50:56Z,2025-12-19T09:30:48Z,26,3,1,7,6,micronaut; spring-boot; tdd; testcontainers,Micronaut; Spring Boot,Spring Boot,both,,2026-09-01T17:56:56Z
